player_name,position,team,conf,games_played,game_min_%,pts_per_game,field_goal_% ,3_pt_%,Free_throw_%,offensive_rebound_per_game,defensive_ rebound_per_game,AST_per_game,stl_per_game,blk_per_game,offensive_rating,usage,classification,year
Jordan Rawls,Combo G,Georgia St.,SB,28,55,8.25,46,0.347,0.895,2.3,8.2,18,1.3,0,99.2,20.7,Jr,2022
Tristan Green,Stretch 4,Denver,Sum,18,51.5,6.0526,45.2,0.269,0.64,4.6,20.5,4.2,1.5,2.5,80.9,16.4,Sr,2022
John Tonje,Wing G,Colorado St.,MWC,27,50.9,6.5862,48.2,0.316,0.852,4.4,11.7,7.9,1.2,1.1,103,18.1,Jr,2022
Rudy Fitzgibbons III,Scoring PG,The Citadel,SC,19,27,4.8696,54.2,0.422,0.6,2.8,5.8,13.6,1.9,0.4,96.6,21,Jr,2022
Parker Weiss,Combo G,Iona,MAAC,11,3.6,0.4545,83.3,0.5,0,4.6,0,0,2.2,0,173.8,5,Jr,2022
Antwon Jackson,PF/C,Arkansas St.,SB,21,36,2.6667,33.3,0,0.655,12.4,12.7,2.4,2.5,0.7,92.3,13.1,Jr,2022
Roscoe Eastmond,Pure PG,Southeastern Louisiana,Slnd,20,47.8,3.6,41.9,0.258,0.5,1.9,13.8,31,2.6,0.3,82.2,17.8,Jr,2022
Mo Arnold,Wing G,Southern Miss,CUSA,22,80,7.125,41.4,0.176,0.608,4.1,13.9,13.3,2,0.7,83.8,17.9,Jr,2022
Caleb Grill,Combo G,Iowa St.,B12,25,84.7,9.1481,51.9,0.348,0.69,1,10.4,11.7,2.6,0.5,103,15.4,Jr,2022
Maceo Austin,Wing G,Duquesne,A10,9,23.5,2.8889,40.4,0.385,0.556,7.7,10,9.5,2.1,1.4,102.6,10.8,Jr,2022
Kamari Williams,Wing G,Miami OH,MAC,15,23.1,2.6,46.3,0.3,0.5,4.7,6.5,3.9,0.9,0.6,88.1,13.3,Jr,2022
Ashton Miller,,Wagner,NEC,23,17.4,,23.3,0.107,0.7,1.7,5.9,2.4,1.4,0.5,61.4,12.7,So,2022
Jamil Riggins,PF/C,Quinnipiac,MAAC,17,17.7,3.1765,46.2,0,0.6,8.5,11.2,4.6,0,0.6,87.9,20.7,So,2022
"Gary Harris, Jr.",,Loyola Marymount,WCC,30,47.7,,45,0.269,0.48,6.3,10.4,3.9,1.1,3.5,92,17.1,So,2022
Brendan McGuire,Wing G,Quinnipiac,MAAC,21,54,6.7619,53.6,0.452,0.821,2.8,14.2,22.5,1.4,1.2,93.1,18.5,Jr,2022
Morgan Safford,Wing G,Wofford,SC,21,65,9.3043,49.1,0.33,0.614,3.2,15.2,6.3,1.9,0.8,97.1,19.1,So,2022
RaeQuan Battle,Wing G,Montana St.,BSky,14,23.8,4.6429,32,0.204,0.769,3.2,10.2,3.8,1.8,2,68.3,21.2,Jr,2022
Grant Frickenstein,PF/C,Nebraska Omaha,Sum,6,0.9,0.3333,25,0,0,24.1,0,0,0,0,78.5,22.6,So,2022
Thatcher Stone,Wing G,William & Mary,CAA,14,26.9,2.0714,35.2,0.1,0.588,5,9.4,7.4,1.6,1.7,79.7,13.3,Jr,2022
Xavier Cork,C,TCU,B12,25,66.4,12.7407,63.8,0,0.762,9.3,16.3,15.3,0.8,5,112.1,22.8,Jr,2022
Ilija Stefanovic,C,Longwood,BSth,16,8.4,2.2941,76.2,0,0.5,11.2,14.5,5.1,1.9,2.9,128.2,16.8,Sr,2022
Bernardo da Silva,C,Hawaii,BW,3,1.3,1.25,100,0,0.5,0,24.7,0,0,0,88.1,15.2,Jr,2022
D.J. Johnson,Stretch 4,Kent St.,MAC,25,36.7,4.32,58.4,0.385,0.647,4.3,16.1,4.1,1.1,3.5,113,13,Sr,2022
Cameron O'Conner,Scoring PG,Longwood,BSth,10,3.2,0.2727,75,0.5,0,6.5,6.9,4.9,3.4,0,122.9,5.4,So,2022
Malcolm Dandridge,C,Memphis,Amer,26,28.3,3.7692,54.9,0,0.364,10.8,15.5,7.9,2.3,6.4,87.5,19.3,Jr,2022
John-Michael Mulloy,C,Butler,BE,18,11.4,0.3889,60,0,0.25,6.9,12.5,4.8,1.1,1,99,5.9,Jr,2022
Mike Parker,Combo G,Butler,BE,3,0.8,1,50,0.333,0,0,0,0,0,0,71.3,24.7,Jr,2022
Lester Quinones,Wing G,Memphis,Amer,28,65.9,9.5357,53.9,0.4,0.672,6.7,17.5,13.4,1.8,0.8,112,17.5,Jr,2022
Japannah Kellogg III,C,Green Bay,Horz,24,43.1,4.5417,47.6,0,0.646,8.9,9.2,5.7,0.8,2.9,106.7,14.9,So,2022
Lucas Stieber,Combo G,Green Bay,Horz,25,65.2,3.84,47.3,0.295,0.667,1,16.4,25.4,1.7,3.5,102.7,11.6,So,2022
Jordan Dingle,,Penn,Ivy,24,72.6,,52,0.348,0.583,2.3,9,13.4,1.5,0.1,94.8,24.6,So,2022
Keegan Records,C,Colgate,Pat,16,56.3,9.0625,60.6,0,0.475,12.1,20.2,9.3,0.8,4.9,121.3,18.9,Jr,2022
Tevin Brewer,Scoring PG,FIU,CUSA,22,75.2,9,50.8,0.383,0.731,1.7,7,26.8,1.9,0,103.8,18.8,Sr,2022
Max Martz,,Penn,Ivy,25,57.3,,58.5,0.414,0.824,6.3,10.5,4.2,0.4,0.6,117.1,14,So,2022
Max Lorca-Lloyd,,Penn,Ivy,8,1.9,,37.5,0,0,17.1,15.7,28.6,0,9.2,88.1,28.1,So,2022
Lucas Monroe,,Penn,Ivy,26,35.7,,47.4,0.308,0.6,5.5,16,10.2,2.3,3,91.5,15,So,2022
Moulaye Sissoko,C,Dayton,A10,14,13.6,1.4286,35,0,1,7.4,25.6,4.1,0,0.8,76.5,14.2,So,2022
Quinten Post,PF/C,Boston College,ACC,31,20.1,2.7742,47.6,0.25,0.571,10.2,16.7,8.8,1.8,6.5,91.2,20.8,Jr,2022
Tyson Jackson,C,New Orleans,Slnd,19,27.4,2.95,59.5,0,0.538,3.6,16.2,4.6,0.7,1.8,83.2,15,Jr,2022
Matt van Komen,C,Saint Mary's,WCC,13,3.4,0.7692,50,0,1,11.1,22,6.1,1.8,12.3,114.9,17.5,Jr,2022
Justin Rumph,PF/C,Mississippi St.,SEC,1,0.1,3,150,1,0,0,109.5,0,0,0,300,20,Sr,2022
Golden Dike,C,Loyola MD,Pat,17,61.3,7.1176,53.7,0,0.297,11.5,16.8,16,0.7,1.3,91.4,20.7,Jr,2022
Iverson Molinar,Combo G,Mississippi St.,SEC,30,73,16.6667,53.7,0.44,0.804,1.2,11.3,15.9,1.6,0.4,111.4,24.2,Jr,2022
Luka Jaksic,Combo G,St. Francis NY,NEC,5,0.4,0.6,75,1,0,0,0,0,0,0,139.9,23,Jr,2022
Quincy Olivari,Wing G,Rice,CUSA,25,73.6,16.25,51.5,0.396,0.806,3,17.2,8.2,0.5,0,103.6,25.9,Jr,2022
Jan Zidek,Stretch 4,Pepperdine,WCC,21,42.6,9.4091,55.8,0.364,0.786,4.6,15,4.1,0.4,0.3,108.7,19.7,Jr,2022
Majok Deng,Stretch 4,Pepperdine,WCC,11,7.4,2.6154,41.7,0.222,1,3.2,18,0,3,1.5,91.7,15.5,So,2022
Imajae Dodd,PF/C,Charleston Southern,BSth,13,17.5,2.5714,50,0,0.375,9.1,12.1,5,0,8.8,103.7,12.7,Jr,2022
Jake Boggs,Stretch 4,South Florida,Amer,16,63.4,10.2941,54,0.423,0.757,4.7,13.6,4.9,1.1,3.4,115.1,16.8,Jr,2022
